rms,zcr,spectral_centroid,class
0.04048649,0.08058120265151515,1516.1579725113418,angry
0.015565833,0.0690942141089109,1457.5896711695207,disgust
0.044070985,0.06276491855053191,1421.8982668197366,fear
0.040840004,0.06389250578703703,1481.7932071752648,happy
0.019762794,0.06154563210227273,1424.1988083710946,neutral
0.012179262,0.06549703663793104,1429.405659958527,sad
0.04864231,0.08842540922619048,1646.2654574524613,angry
0.016203053,0.058447265625,1323.2405577293625,angry
0.02092001,0.0754308867872807,1448.743317809598,angry
0.028427724,0.07931483477011494,1587.0494724983973,disgust
0.0064706514,0.05858252514367816,1349.2810140507434,disgust
0.012995318,0.07219416920731707,1500.0926159501516,disgust
0.056698997,0.07355095358455882,1509.7535241653784,fear
0.017895626,0.07428434001865672,1484.830571175238,fear
0.029110331,0.07956861413043478,1537.5376808262977,fear
0.065582536,0.09834745332792208,1731.9971374815213,happy
0.017450549,0.06750818201013513,1449.8201873684739,happy
0.02600463,0.0716824001736111,1504.8948164159397,happy
0.012159063,0.07099892436594203,1501.8335410266782,neutral
0.012162778,0.06336992636494253,1351.4875582833922,sad
0.009546213,0.06005859375,1342.0256186907488,sad
0.0101528065,0.06415364583333333,1356.031681133782,sad
0.02637216,0.060732634171195655,1385.053327187156,angry
0.010480117,0.05601283482142857,1313.3819907674554,disgust
0.0409735,0.06459206681910569,1422.1851413581428,fear
0.036329016,0.05227976831896552,1334.3526407151535,happy
0.020638598,0.05195860105140187,1282.2716781539905,neutral
0.015473258,0.05748930431547619,1305.3175419421057,sad
0.028485097,0.07189585861650485,1444.2211545077294,angry
0.011895969,0.08255589261968085,1607.8671477674702,disgust
0.04985629,0.06517749828296704,1406.7227989681621,fear
0.0369888,0.06442118136682243,1367.1247695204677,happy
0.017135654,0.06174813329646018,1334.3260248638956,neutral
0.00953248,0.0660791489684466,1408.0391522299922,sad
0.03671789,0.10510803772522523,1744.4830925573574,angry
0.018642643,0.10415810032894737,1801.6014395055993,disgust
0.05009659,0.09618079144021739,1751.3309215786585,fear
0.042598113,0.09478824013157895,1676.2264610934515,happy
0.018612571,0.08756045386904762,1643.9534349282958,neutral
0.010209057,0.08359799592391304,1545.324612822622,sad
0.057471525,0.06903921274038462,1451.1809012680799,angry
0.016625728,0.051810599662162164,1270.492626945417,disgust
0.044125322,0.0624194098907767,1392.1042102589229,fear
0.040471055,0.059312757554945056,1369.6343595513617,happy
0.028023962,0.05487407901422764,1284.4461900340577,neutral
0.012361397,0.04972926194105691,1183.2670757416874,sad
